"","P","Q","E"
"1980-09-13",0.0176,1.61018518518519,2.1482
"1980-09-14",0.051,1.42509259259259,2.5481
"1980-09-15",10.758,1.78388888888889,2.1445
"1980-09-16",4.1888,1.78287037037037,2.1965
"1980-09-17",8.4257,1.83,2.1505
"1980-09-18",11.5908,2.54435185185185,2.5615
"1980-09-19",2.3591,2.21490740740741,2.2687
"1980-09-20",5.719,2.1737037037037,2.5531
"1980-09-21",0.0846,1.79064814814815,1.9085
"1980-09-22",0,1.66157407407407,2.5593
"1980-09-23",0.5939,1.56916666666667,2.7761
"1980-09-24",0.269,1.50388888888889,3.4012
"1980-09-25",0.0589,1.42462962962963,3.1461
"1980-09-26",0.7436,1.37222222222222,3.0047
"1980-09-27",0.4943,1.34490740740741,3.0156
"1980-09-28",0,1.30962962962963,3.4348
"1980-09-29",0,1.26481481481481,4.0564
"1980-09-30",0,1.20694444444444,4.2237
"1980-10-01",0,1.16916666666667,4.0663
"1980-10-02",0,1.14435185185185,3.9347
"1980-10-03",0,1.12148148148148,3.3142
"1980-10-04",0,1.09666666666667,3.8577
"1980-10-05",0,1.07416666666667,3.6579
"1980-10-06",0,1.2075,2.193
"1980-10-07",21.5265,1.85018518518518,2.9805
"1980-10-08",4.0668,1.55703703703704,2.6307
"1980-10-09",2.1262,1.46074074074074,3.765
"1980-10-10",1.7132,1.21657407407407,4.0828
"1980-10-11",0,1.14342592592593,2.7873
"1980-10-12",16.4158,1.81018518518519,2.8873
"1980-10-13",13.0941,1.97675925925926,3.0526
"1980-10-14",3.1262,1.57444444444444,3.8393
"1980-10-15",0.0011,1.23907407407407,4.1742
"1980-10-16",0.1063,1.14731481481481,3.8222
"1980-10-17",0,1.09518518518519,4.1755
"1980-10-18",0,1.0537037037037,3.8978
"1980-10-19",6.791,1.11203703703704,4.0968
"1980-10-20",8.0713,1.38888888888889,3.3858
"1980-10-21",6.8589,1.51601851851852,4.8271
"1980-10-22",0,1.08324074074074,5.1275
"1980-10-23",0,1.07925925925926,3.258
"1980-10-24",19.2243,1.94574074074074,4.2375
"1980-10-25",0,1.21518518518519,4.3608
"1980-10-26",0,1.08694444444444,4.7401
"1980-10-27",0,1.02814814814815,3.7057
"1980-10-28",8.7255,1.54009259259259,3.2124
"1980-10-29",0.4473,1.34055555555556,3.1291
"1980-10-30",0.2783,1.19333333333333,3.4831
"1980-10-31",5.5163,1.47611111111111,3.3382
"1980-11-01",2.7623,1.48685185185185,2.7681
"1980-11-02",4.9936,1.8737962962963,2.9501
"1980-11-03",15.1319,2.68453703703704,3.876
"1980-11-04",0.1685,1.6162962962963,3.4318
"1980-11-05",1.5067,1.43231481481481,3.7906
"1980-11-06",9.0394,1.83851851851852,3.0827
"1980-11-07",4.4806,1.66268518518518,3.829
"1980-11-08",4.3148,1.53944444444444,3.9885
"1980-11-09",2.2706,1.42194444444444,4.6039
"1980-11-10",0,1.27981481481481,5.3967
"1980-11-11",0,1.20259259259259,5.9616
"1980-11-12",0,1.1337962962963,5.6828
"1980-11-13",0,1.07175925925926,6.0261
"1980-11-14",0,1.0325,4.3154
